classifier,project,run,precision,recall,f1
Naive Bayes (Baseline),tensorflow,1,0.0,0.0,0.0
Naive Bayes (Baseline),tensorflow,2,0.0,0.0,0.0
Naive Bayes (Baseline),tensorflow,3,1.0,0.01282051282051282,0.02531645569620253
Naive Bayes (Baseline),tensorflow,4,1.0,0.010309278350515464,0.02040816326530612
Naive Bayes (Baseline),tensorflow,5,0.5,0.011494252873563218,0.02247191011235955
Naive Bayes (Baseline),tensorflow,6,1.0,0.02531645569620253,0.04938271604938271
Naive Bayes (Baseline),tensorflow,7,0.5,0.011764705882352941,0.022988505747126436
Naive Bayes (Baseline),tensorflow,8,1.0,0.02247191011235955,0.04395604395604396
Naive Bayes (Baseline),tensorflow,9,0.0,0.0,0.0
Naive Bayes (Baseline),tensorflow,10,1.0,0.011904761904761904,0.023529411764705882
Naive Bayes (Baseline),tensorflow,11,1.0,0.011764705882352941,0.023255813953488372
Naive Bayes (Baseline),tensorflow,12,1.0,0.024390243902439025,0.047619047619047616
Naive Bayes (Baseline),tensorflow,13,1.0,0.013157894736842105,0.025974025974025976
Naive Bayes (Baseline),tensorflow,14,1.0,0.023255813953488372,0.045454545454545456
Naive Bayes (Baseline),tensorflow,15,1.0,0.041666666666666664,0.08
Naive Bayes (Baseline),tensorflow,16,1.0,0.046511627906976744,0.08888888888888889
Naive Bayes (Baseline),tensorflow,17,1.0,0.02631578947368421,0.05128205128205128
Naive Bayes (Baseline),tensorflow,18,0.0,0.0,0.0
Naive Bayes (Baseline),tensorflow,19,1.0,0.024390243902439025,0.047619047619047616
Naive Bayes (Baseline),tensorflow,20,1.0,0.013513513513513514,0.02666666666666667
Naive Bayes (Baseline),tensorflow,21,0.0,0.0,0.0
Naive Bayes (Baseline),tensorflow,22,0.0,0.0,0.0
Naive Bayes (Baseline),tensorflow,23,1.0,0.020833333333333332,0.04081632653061224
Naive Bayes (Baseline),tensorflow,24,1.0,0.03333333333333333,0.06451612903225806
Naive Bayes (Baseline),tensorflow,25,1.0,0.02531645569620253,0.04938271604938271
Naive Bayes (Baseline),tensorflow,26,1.0,0.023255813953488372,0.045454545454545456
Naive Bayes (Baseline),tensorflow,27,1.0,0.02564102564102564,0.05
Naive Bayes (Baseline),tensorflow,28,1.0,0.033707865168539325,0.06521739130434782
Naive Bayes (Baseline),tensorflow,29,1.0,0.04,0.07692307692307693
Naive Bayes (Baseline),tensorflow,30,1.0,0.02631578947368421,0.05128205128205128
Naive Bayes (Baseline),pytorch,1,0.0,0.0,0.0
Naive Bayes (Baseline),pytorch,2,1.0,0.029411764705882353,0.05714285714285714
Naive Bayes (Baseline),pytorch,3,0.0,0.0,0.0
Naive Bayes (Baseline),pytorch,4,0.0,0.0,0.0
Naive Bayes (Baseline),pytorch,5,0.0,0.0,0.0
Naive Bayes (Baseline),pytorch,6,0.0,0.0,0.0
Naive Bayes (Baseline),pytorch,7,1.0,0.037037037037037035,0.07142857142857142
