project,classifier,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
tensorflow,Naive Bayes (Baseline),0.0,0.0,0.0,0.0,0.0,0.0
tensorflow,SVM,0.7238,0.0415,0.695,0.0555,0.7068,0.0276
tensorflow,Random Forest,0.7945,0.1108,0.1822,0.0505,0.2927,0.0691
tensorflow,Logistic Regression,0.6141,0.0452,0.7782,0.0499,0.6846,0.0316
pytorch,Naive Bayes (Baseline),0.0,0.0,0.0,0.0,0.0,0.0
pytorch,SVM,0.5847,0.0867,0.4583,0.0832,0.5081,0.0652
pytorch,Random Forest,0.4722,0.4656,0.0263,0.0295,0.0492,0.0541
pytorch,Logistic Regression,0.5094,0.07,0.5772,0.0849,0.537,0.0605
keras,Naive Bayes (Baseline),0.0667,0.2494,0.0017,0.0065,0.0034,0.0126
keras,SVM,0.7056,0.0546,0.5968,0.0899,0.6417,0.0534
keras,Random Forest,0.8226,0.1789,0.0941,0.0407,0.1662,0.0673
keras,Logistic Regression,0.6477,0.0506,0.6596,0.0818,0.65,0.0471
incubator-mxnet,Naive Bayes (Baseline),0.0,0.0,0.0,0.0,0.0,0.0
incubator-mxnet,SVM,0.6265,0.1228,0.4586,0.1016,0.5227,0.0923
incubator-mxnet,Random Forest,0.0333,0.1795,0.0017,0.009,0.0032,0.0171
incubator-mxnet,Logistic Regression,0.6392,0.1077,0.5809,0.0982,0.6028,0.0825
caffe,Naive Bayes (Baseline),0.0,0.0,0.0,0.0,0.0,0.0
caffe,SVM,0.5806,0.3035,0.1971,0.1244,0.2732,0.1465
caffe,Random Forest,0.0,0.0,0.0,0.0,0.0,0.0
caffe,Logistic Regression,0.5673,0.2414,0.3022,0.1604,0.36,0.1442
