project,classifier,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
tensorflow,Naive Bayes (Baseline),0.7667,0.4028,0.0186,0.0129,0.0363,0.0249
tensorflow,SVM,0.8283,0.0343,0.5547,0.0575,0.6622,0.0407
tensorflow,Random Forest,0.9089,0.0927,0.1164,0.0313,0.2044,0.0484
tensorflow,Logistic Regression,0.9067,0.0822,0.1011,0.0382,0.1796,0.0612
tensorflow,XGBoost,0.7548,0.0484,0.5655,0.0582,0.644,0.0408
pytorch,Naive Bayes (Baseline),0.2611,0.4209,0.0123,0.0216,0.0233,0.0403
pytorch,SVM,0.7228,0.132,0.1898,0.0632,0.2939,0.0798
pytorch,Random Forest,0.2333,0.423,0.0133,0.0293,0.0248,0.0531
pytorch,Logistic Regression,0.0,0.0,0.0,0.0,0.0,0.0
pytorch,XGBoost,0.6466,0.1185,0.2345,0.0861,0.3362,0.0978
keras,Naive Bayes (Baseline),0.6388,0.3145,0.0507,0.0338,0.0924,0.0591
keras,SVM,0.7517,0.0739,0.42,0.0926,0.533,0.0806
keras,Random Forest,0.7867,0.2301,0.0951,0.0552,0.1656,0.0847
keras,Logistic Regression,0.7744,0.27,0.0494,0.0231,0.0919,0.0411
keras,XGBoost,0.6711,0.07,0.4962,0.0779,0.5667,0.0648
incubator-mxnet,Naive Bayes (Baseline),0.3333,0.4534,0.0266,0.0386,0.0489,0.07
incubator-mxnet,SVM,0.6056,0.1796,0.2244,0.0888,0.3173,0.1
incubator-mxnet,Random Forest,0.0778,0.2536,0.0053,0.016,0.0097,0.0295
incubator-mxnet,Logistic Regression,0.0,0.0,0.0,0.0,0.0,0.0
incubator-mxnet,XGBoost,0.5578,0.1735,0.2889,0.1253,0.3669,0.1299
caffe,Naive Bayes (Baseline),0.05,0.1979,0.0097,0.0368,0.0162,0.0616
caffe,SVM,0.2833,0.422,0.0479,0.0731,0.0803,0.1209
caffe,Random Forest,0.0,0.0,0.0,0.0,0.0,0.0
caffe,Logistic Regression,0.0,0.0,0.0,0.0,0.0,0.0
caffe,XGBoost,0.5129,0.3211,0.1581,0.1082,0.2237,0.1379
